Year,Australian Open,French Open,Wimbledon,US Open
2002,Thomas Johansson,Albert Costa,Lleyton Hewitt,Pete Sampras
2003,Andre Agassi,Juan Carlos Ferrero,Roger Federer,Andy Roddick
2004,Roger Federer,Gaston Gaudio,Roger Federer,Roger Federer
2005,Marat Safin,Rafael Nadal,Roger Federer,Roger Federer
2006,Roger Federer,Rafael Nadal,Roger Federer,Roger Federer
2007,Roger Federer,Rafael Nadal,Roger Federer,Roger Federer
2008,Novak Djokovic,Rafael Nadal,Rafael Nadal,Roger Federer
2009,Rafael Nadal,Roger Federer,Roger Federer,Juan Martin del Potro
2010,Roger Federer,Rafael Nadal,Rafael Nadal,Rafael Nadal
2011,Novak Djokovic,Rafael Nadal,Novak Djokovic,Novak Djokovic
2012,Novak Djokovic,Rafael Nadal,Roger Federer,Andy Murray
2013,Novak Djokovic,Rafael Nadal,Andy Murray,Rafael Nadal
2014,Stanislas Wawrinka,Rafael Nadal,Novak Djokovic,Marin Cilic
2015,Novak Djokovic,Stanislas Wawrinka,Novak Djokovic,Novak Djokovic
2016,Novak Djokovic,Novak Djokovic,Andy Murray,Stanislas Wawrinka
2017,Roger Federer,Rafael Nadal,Roger Federer,Rafael Nadal
2018,Roger Federer,Rafael Nadal,Novak Djokovic,Novak Djokovic
2019,Novak Djokovic,Rafael Nadal,Novak Djokovic,Rafael Nadal
2020,Novak Djokovic,Rafael Nadal,Cancelled,Dominic Thiem
2021,Novak Djokovic,Novak Djokovic,Novak Djokovic,Daniil Medvedev
2022,Rafael Nadal,Rafael Nadal,Novak Djokovic,Carlos Alcaraz